name,number,link,location,time,type
OMG097-运维后台开发工程师,1,position_detail.php?id=41433&keywords=python&tid=87&lid=0,北京,2018-06-12,技术类
OMG097-高级系统测试工程师（北京）,2,position_detail.php?id=41410&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
TEG05-高级业务运维工程师（深圳）,1,position_detail.php?id=41412&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
SNG11-推荐算法高级研究员（深圳）,2,position_detail.php?id=41403&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
SNG11-数据分析师（深圳）,2,position_detail.php?id=41362&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
WXG06-114 微信支付智慧应用开发工程师（深圳）,1,position_detail.php?id=40912&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
TEG03-后台开发工程师（深圳）,2,position_detail.php?id=40898&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
MIG15-自然语言理解研究员(成都),1,position_detail.php?id=40897&keywords=python&tid=87&lid=0,成都,2018-06-12,技术类
25925-高级后台开发工程师（深圳）,1,position_detail.php?id=40878&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
25663-智慧零售行业Web开发工程师（成都）,1,position_detail.php?id=40841&keywords=python&tid=87&lid=0,成都,2018-06-12,技术类
18428-财付通DBA（深圳）,1,position_detail.php?id=41261&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
OMG064-系统测试工程师（上海）,1,position_detail.php?id=41264&keywords=python&tid=87&lid=0,上海,2018-06-12,技术类
SNG08-儿童英语后台开发工程师（深圳）,2,position_detail.php?id=41223&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
25925-NLP高级工程师（深圳）,1,position_detail.php?id=41217&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
GH-运维工程师（深圳）,1,position_detail.php?id=41205&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
MIG08-图像识别高级研究员（广州/北京）,1,position_detail.php?id=41031&keywords=python&tid=87&lid=0,广州,2018-06-12,技术类
TEG05-高级数据运营工程师（深圳）,1,position_detail.php?id=41014&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
SNG11-接入运维工程师（深圳）,1,position_detail.php?id=41001&keywords=python&tid=87&lid=0,深圳,2018-06-12,技术类
WXG10-154 企业微信系统测试工程师（广州）,2,position_detail.php?id=40946&keywords=python&tid=87&lid=0,广州,2018-06-12,技术类
SNG04-QQ看点iOS开发工程师（上海）,1,position_detail.php?id=40923&keywords=python&tid=87&lid=0,上海,2018-06-12,技术类
