之江一号 精品三房 全新家电 拎包入住 好房手慢无,之江国家旅游度假区,3室2厅1厨2卫1阳台,10/25F,5000,116,,,,
金街美地云溪印象酒店式公寓房间整洁干净拎包入住,之江度假区转塘镇内,1室1厅1厨1卫1阳台,6/9F,2300,42,,,,
之江转塘瑷骊山一房一厅朝南带阳台有管道煤气设备齐全,之江国家旅游度假区象,1室1厅1厨1卫1阳台,8/12F,3200,48,,,,
之江家园三室两厅两卫 家具家电全部配 拎包入住,杭新路与美院南路交叉,3室2厅1厨1卫1阳台,10/25F,3900,90,,,,
之江诚品精装修三室一厅出租.南北通透.家具家电齐全.拎包入住,之江国家旅游度假区3,3室1厅1厨1卫1阳台,10/17F,4000,80,,,,
之江富城，正规，拎包入住，省钱又省心,之江象山路与镇南路交,2室1厅1厨1卫1阳台,4/6F,3000,50,,,,
温馨舒适的装修 家的感觉 金街美地 元芳，就这套吧！！,杭州市320国道与杭,2室1厅1厨1卫1阳台,10/12F,4100,46,,,,
篁外精装三房三卫 家电全齐拎包入住 好房只此一套,西湖区之江320国道,3室2厅1厨3卫1阳台,11/17F,4000,120,,,,
出租转塘高性价比高品质住宅3室赞成岭上花苑精装修真实照片,转塘镇直街35号,3室1厅1厨1卫1阳台,8/11F,4000,90,,,,
房东自住装修，家具家电全新，采光。,余杭镇文一西路210,3室2厅1厨1卫1阳台,0/11F,2200,89,,,,
店长推荐！之江家园五区朝南一般装修家具电器齐全非常干净,杭新路与美院南路交叉,4室2厅1厨2卫1阳台,5/6F,4350,138,,,,
江南时代广场旁，3房精装，只需3000元！随时钥匙看房！,余杭区禹航路430,3室2厅1厨2卫1阳台,6/6F,3000,130,,,,
房东自住装修，家具家电全新，采光。,余杭镇文一西路210,3室2厅1厨1卫1阳台,0/11F,2200,89,,,,
万科精装修三房两厅一卫一阳 河景房 不沿马路 西溪湿地附近,西湖区文一西路和崇义,3室2厅1厨2卫1阳台,2/15F,5800,89,,,,
万科西庐精装修三房两厅一卫一阳台 西溪湿地西溪谷阿里巴巴附近,西湖区文一西路和崇义,3室2厅1厨1卫1阳台,10/15F,6000,89,,,,
凤都苑，精装修好房子出租。,余杭区禹航路430,4室2厅1厨2卫1阳台,6/6F,2800,89,,,,
万科西庐精装，家具自住配置,西湖区文一西路和崇义,3室2厅1厨1卫1阳台,8/15F,5800,89,,,,
万科西庐精装修3房两厅一卫 西溪首座 阿里巴巴 西溪湿地附近,西湖区文一西路和崇义,3室2厅1厨1卫1阳台,10/15F,5900,89,,,,
西城时代家园单身公寓出租 朝南带阳台 拎包入住,杭州市文一西路与狮山,1室1厅1厨1卫1阳台,6/6F,2000,45,,,,
紫竹人家、精装修、拎包 入住,文一路延伸段旁狮山路,3室2厅1厨2卫1阳台,6/6F,3500,117,,,,
万科西庐精装修3房两厅一卫 西溪首座 阿里巴巴 西溪湿地附近,西湖区文一西路和崇义,3室2厅1厨1卫1阳台,10/15F,5900,89,,,,
未来科技城、海创园、梦想小镇、杭师大精装三房,余杭文一西路延申段,3室2厅1厨1卫1阳台,0/7F,3400,100,,,,
海创对面中控华为精装主卧价格可谈逸天广场适合陪读中间位置,"滨江区六和路,新生路",1室1厅1厨1卫,9/13F,2000,20,,,,
星汇荣邸江南文苑精装三房家电齐全价格可谈合租好房可押一付一,浦沿路369号(坚塔,3室2厅1厨1卫1阳台,9/32F,4300,90,,,,
大华海派风范 精装4房2卫 配套成熟位置便利 还带车位,文一西路北、同城印象,4室2厅1厨2卫1阳台,0/18F,3300,110,,,,
名城博园单身公寓，房东诚心出租,农副物流园区博园路与,1室1厅1厨1卫1阳台,13/28F,2600,56,,,,
逸居城三期  二室，价格可谈 随时看房,余杭勾庄逸盛路44号,2室2厅1厨1卫1阳台,5/11F,3300,88,,,,
逸居城三期  二室，价格可谈 随时看房,余杭勾庄逸盛路44号,2室2厅1厨1卫1阳台,5/11F,3300,88,,,,
上亿彩虹郡 物流 三房两卫带车位 可长租 随时看房,余杭区良渚街道博园路,3室2厅1厨1卫1阳台,3/11F,4000,106,,,,
彩虹郡中等装修3室2厅出租，可长租,余杭区良渚街道博园路,3室2厅1厨1卫1阳台,2/11F,3600,106,,,,a
二号线地铁口 佳境天城两房朝南 全景落地窗阳光无敌,钱江新城对岸市心北路,2室1厅1厨1卫,3/10F,3000 ,50
萧山宝龙城市广场 楼下大型购物商场 现出独门独户一室 随时看,经济开发区2号大街与,1室1厅1厨1卫,13/30F,2600 ,50
钱江世纪城 丽晶国际 3室主卧,鸿宁路2327号,3室1厅1厨1卫,11/15F,2300 ,252
振宁路地铁口 丰东花苑佳境天城 一室一厅带阳台单身公寓,杭州市萧山区振宁路与,1室1厅1卫,12/25F,2600 ,55
龙湖冠寓奥体飞虹路店 可短租月付 距飞虹路地铁站100米,萧山市心北路777号,1室1厅1卫,7/15F,2799 ,42
真的 振宁路地铁50米 3室3卫 超大独卫 让您享受自己世界,钱江新城对岸市心北路,3室1厅1厨3卫,15/25F,2300 ,18
钱江世纪城振宁路 丰东花苑 小清新风格家具,杭州市萧山区振宁路与,4室1厅1厨4卫,13/30F,2050 ,18
莱茵传奇 青秀城 明怡花苑 建设一路 单间出租,萧山建设一路与明星路,1室1厅1厨1卫,3/17F,2500 ,26
高档小区 两房出租 只租2两天 赶紧打电话吧！！！,市心路和建设一路交叉,2室2厅1厨1卫,13/28F,5200 ,115
萧山开发区华瑞晴庐 4室2厅 主卧 带阳台 单间出租,萧山区建设二路与育才,4室2厅1厨1卫,12/28F,1800 ,25
钱江世纪城 振宁路站 自住原户型三房两卫 佳境天城 就读崇文,钱江世纪城振宁路与民,3室2厅1卫,3/17F,4500 ,81
钱江世纪城振宁路港汇中心 江南明城万科世纪之光复式两房采光好,钱江新城对岸市心北路,2室2厅2卫,12/15F,4000 ,89
万和国际 精装三房 联合中心旁 环境好 交通便利 配套好,萧山市心北路与广场路,3室2厅1厨1卫,5/30F,6500 ,95
押一付一和美家 春和钱塘 大象国际 宝盛 丰北二苑 利一佳苑,杭州市萧山区金鸡路和,2室2厅1厨1卫,10/22F,3200 ,89
龙湖冠寓 飞虹路地铁站100米 大象国际 宝盛宝亿写字楼林立,市心南路55号,1室1厅1厨1卫,9/15F,2922 ,30
可月付 港汇中心旁 江南明城 振宁路站 顺丰家园 雷迪森,钱江新城对岸市心北路,2室2厅1厨2卫,5/12F,3500 ,80
钱江世纪城 2号线 世纪晶钻 宝盛世纪中心,钱江世纪城公园西路与,1室1厅1厨1卫,16/26F,3000 ,48
振宁路站 港汇中心 大成名座 南岸明珠 适合合租 毕业生,钱江新城对岸市心北路,2室1厅1厨2卫,10/28F,3600 ,80
之江一号 精品三房 全新家电 拎包入住 好房手慢无,之江国家旅游度假区,3室2厅1厨2卫1阳台,10/25F,5000 ,116
金街美地云溪印象酒店式公寓房间整洁干净拎包入住,之江度假区转塘镇内,1室1厅1厨1卫1阳台,6/9F,2300 ,42
之江转塘瑷骊山一房一厅朝南带阳台有管道煤气设备齐全,之江国家旅游度假区象,1室1厅1厨1卫1阳台,8/12F,3200 ,48
之江家园三室两厅两卫 家具家电全部配 拎包入住,杭新路与美院南路交叉,3室2厅1厨1卫1阳台,10/25F,3900 ,90
之江诚品精装修三室一厅出租.南北通透.家具家电齐全.拎包入住,之江国家旅游度假区3,3室1厅1厨1卫1阳台,10/17F,4000 ,80
之江富城，正规，拎包入住，省钱又省心,之江象山路与镇南路交,2室1厅1厨1卫1阳台,4/6F,3000 ,50
温馨舒适的装修 家的感觉 金街美地 元芳，就这套吧！！,杭州市320国道与杭,2室1厅1厨1卫1阳台,10/12F,4100 ,46
篁外精装三房三卫 家电全齐拎包入住 好房只此一套,西湖区之江320国道,3室2厅1厨3卫1阳台,11/17F,4000 ,120
出租转塘高性价比高品质住宅3室赞成岭上花苑精装修真实照片,转塘镇直街35号,3室1厅1厨1卫1阳台,8/11F,4000 ,90
房东自住装修，家具家电全新，采光。,余杭镇文一西路210,3室2厅1厨1卫1阳台,0/11F,2200 ,89
店长推荐！之江家园五区朝南一般装修家具电器齐全非常干净,杭新路与美院南路交叉,4室2厅1厨2卫1阳台,5/6F,4350 ,138
江南时代广场旁，3房精装，只需3000元！随时钥匙看房！,余杭区禹航路430,3室2厅1厨2卫1阳台,6/6F,3000 ,130
